"0015  ","0015","792","YIVDK   ","MASTER  ","D"
"001500","0015","792","YIVDK   ","VISA    ","D"
"375622","0062","792","AMEXE   ","AMEX    ","C"
"375623","0062","792","AMEXG   ","AMEX    ","C"
"375624","0062","792","AMEXP   ","AMEX    ","C"
"375625","0062","792","AMXBE   ","AMEX    ","C"
"375626","0062","792","AMXBG   ","AMEX    ","C"
"375627","0062","792","BONUS   ","AMEX    ","C"
"401622","0067","792","YIVDK   ","VISA    ","D"
"401738","0062","792","KONTOR  ","VISA    ","D"
"402142","0071","792","YIVDK   ","VISA    ","D"
"402275","0208","792","YIVKK   ","VISA    ","C"
"402276","0208","792","YIVKK   ","VISA    ","C"
"402277","0111","792","YIVKK   ","VISA    ","C"
"402278","0111","792","YIVKK   ","VISA    ","C"
"402280","0208","792","YIVKK   ","VISA    ","C"
"402299","0071","792","YIVKK   ","VISA    ","C"
"402458","0032","792","TEBONUS ","VISA    ","C"
"402459","0032","792","TEBONUS ","VISA    ","C"
"402563","0111","792","YIVKK   ","VISA    ","C"
"402589","0205","792","YIVKK   ","VISA    ","C"
"402590","0205","792","YIVKK   ","VISA    ","C"
"402591","0205","792","YIVDK   ","VISA    ","D"
"402592","0205","792","YIVKK   ","VISA    ","C"
"402940","0015","792","YIVKK   ","VISA    ","C"
"403134","0134","792","YIVKK   ","VISA    ","C"
"403280","0062","792","SANAL   ","VISA    ","C"
"403360","0205","792","YIVKK   ","VISA    ","C"
"403666","0062","792","GBKK    ","VISA    ","C"
"403810","0205","792","YIVKK   ","VISA    ","C"
"403836","0059","792","YIVKK   ","VISA    ","C"
"404308","0062","792","BONUS   ","VISA    ","C"
"404315","0071","792","YIVDK   ","VISA    ","D"
"404809","0067","792","YIVKK   ","VISA    ","C"
"404952","0111","792","YIVKK   ","VISA    ","C"
"404990","0134","792","YIVDK   ","VISA    ","D"
"405051","0062","792","KONTOR  ","VISA    ","D"
"405090","0062","792","KONTOR  ","VISA    ","D"
"405903","0123","792","YIVDK   ","VISA    ","D"
"405913","0123","792","YIVKK   ","VISA    ","C"
"405917","0123","792","YIVKK   ","VISA    ","C"
"405918","0123","792","YIVKK   ","VISA    ","C"
"405919","0123","792","YIVDK   ","VISA    ","D"
"406015","0032","792","YIVKK   ","VISA    ","C"
"406386","0111","792","YIVDK   ","VISA    ","D"
"407112","0208","792","YIVDK   ","VISA    ","D"
"407381","0208","792","YIVDK   ","VISA    ","D"
"407814","0010","792","YIVDK   ","VISA    ","D"
"408625","0134","792","YIVKK   ","VISA    ","C"
"409070","0134","792","DNZBONUS","VISA    ","C"
"409071","0123","792","YIVKK   ","VISA    ","C"
"409084","0015","792","YIVKK   ","VISA    ","C"
"409364","0111","792","YIVKK   ","VISA    ","C"
"410141","0062","792","KONTOR  ","VISA    ","D"
"410147","0111","792","YIVKK   ","VISA    ","C"
"410555","0205","792","YIVKK   ","VISA    ","C"
"410556","0205","792","YIVKK   ","VISA    ","C"
"411156","0059","792","SBBONUS ","VISA    ","C"
"411157","0059","792","SBBONUS ","VISA    ","C"
"411158","0059","792","SBBONUS ","VISA    ","C"
"411159","0059","792","SBBONUS ","VISA    ","C"
"411685","0204","792","YIVKK   ","VISA    ","C"
"411724","0015","792","YIVKK   ","VISA    ","C"
"411924","0134","792","YIVKK   ","VISA    ","C"
"411942","0015","792","YIVKK   ","VISA    ","C"
"411943","0015","792","YIVKK   ","VISA    ","C"
"411944","0015","792","YIVKK   ","VISA    ","C"
"411979","0015","792","YIVKK   ","VISA    ","C"
"413226","0010","792","YIVKK   ","VISA    ","C"
"413252","0046","792","YIVKK   ","VISA    ","C"
"413382","0093","792","YIVDK   ","VISA    ","D"
"413583","0111","792","YIVKK   ","VISA    ","C"
"413729","0109","792","YIVKK   ","VISA    ","C"
"413836","0062","792","SMCLUB  ","VISA    ","C"
"413972","0109","792","YIVKK   ","VISA    ","C"
"414070","0099","792","YIVKK   ","VISA    ","C"
"414388","0111","792","YIVKK   ","VISA    ","C"
"414392","0093","792","YIVDK   ","VISA    ","D"
"415514","0056","792","YIVKK   ","VISA    ","C"
"415515","0056","792","YIVDK   ","VISA    ","D"
"415565","0111","792","YIVKK   ","VISA    ","C"
"415956","0111","792","YIVDK   ","VISA    ","D"
"416757","0015","792","YIVKK   ","VISA    ","C"
"416987","0208","792","YIVKK   ","VISA    ","C"
"417715","0203","792","YIVKK   ","VISA    ","C"
"417716","0203","792","YIVDK   ","VISA    ","D"
"418342","0064","792","YIVKK   ","VISA    ","C"
"418343","0064","792","YIVKK   ","VISA    ","C"
"418344","0064","792","YIVKK   ","VISA    ","C"
"418345","0064","792","YIVKK   ","VISA    ","C"
"420556","0062","792","KONTOR  ","VISA    ","D"
"420557","0062","792","KONTOR  ","VISA    ","D"
"420578","0056","792","YIVKK   ","VISA    ","C"
"421030","0012","792","YIVDK   ","VISA    ","C"
"422376","0111","792","YIVKK   ","VISA    ","C"
"422629","0123","792","YIVKK   ","VISA    ","C"
"423277","0111","792","YIVKK   ","VISA    ","C"
"423398","0111","792","YIVKK   ","VISA    ","C"
"423833","0059","792","YIVDK   ","VISA    ","D"
"424360","0134","792","DNZBONUS","VISA    ","C"
"424361","0134","792","DNZBONUS","VISA    ","C"
"424407","0125","792","YIVKK   ","VISA    ","C"
"424909","0123","792","YIVKK   ","VISA    ","C"
"425669","0046","792","YIVKK   ","VISA    ","C"
"425846","0135","792","YIVKK   ","VISA    ","C"
"425847","0135","792","YIVKK   ","VISA    ","C"
